rsi_buy,rsi_buy_exit,rsi_sell,rsi_sell_exit,long_trades,long_stoploss,long_only_profit,long_only_return,hedge_long_profit,hedge_short_profit,hedge_total_profit,hedge_total_return
35,40,85,55,77,9,24805.980563269273,6.459890771684707,24805.980563269273,2182.613103530185,26988.593666799457,4.797972207431014
30,50,85,55,74,9,14348.016102931188,6.642600047653327,14348.016102931188,-708.301108164403,13639.714994766784,4.744248693831925
35,40,85,50,77,9,24437.511935598402,6.363935399895418,24437.511935598402,2086.8331090409342,26524.345044639336,4.715439119046993
35,50,85,50,79,9,19538.410770164643,6.6912365651248775,19538.410770164643,-1576.7099902471273,17961.700779917515,4.547266020232282
35,40,85,60,78,9,21942.663524096923,5.714235292733574,21942.663524096923,2554.576837614225,24497.24036171115,4.421884541825117
30,50,85,50,72,9,12869.491093240837,5.958097728352239,12869.491093240837,-613.3089763264616,12256.182116914375,4.255618790595269
30,45,85,55,72,9,13737.036543596076,5.870528437434221,13737.036543596076,-546.7686843794794,13190.267859216596,4.1027271723846335
35,45,85,55,77,9,19690.613536213943,6.040065501906118,19690.613536213943,-1259.821016432696,18430.792519781247,4.0957316710625
30,50,85,60,75,9,12429.582697614427,5.754436434080754,12429.582697614427,-856.0363414177539,11573.546356196674,4.0255813412857995
35,50,85,60,80,9,16860.456427746434,5.774128913611793,16860.456427746434,-1073.9920154722101,15786.464412274225,3.9864809121904607
35,50,85,55,79,9,17283.77777697945,5.919101978417619,17283.77777697945,-1517.0700939295675,15766.70768304988,3.9814918391540104
30,45,85,60,74,9,12291.030538093011,5.2525771530312015,12291.030538093011,53.19640481967897,12344.22694291269,3.9002296818049573
30,45,85,50,70,9,12398.67837162325,5.298580500693697,12398.67837162325,161.0735625697952,12559.751934193044,3.888468091081438
30,40,85,55,71,9,14747.086019989641,5.922524506019936,14747.086019989641,-1545.2901666705393,13201.795853319101,3.7611953998060117
35,45,85,60,79,9,17111.792505779802,5.249016106067423,17111.792505779802,-837.8349612456295,16273.957544534172,3.677730518538796
35,45,85,50,75,9,17375.80386399847,5.330001185275604,17375.80386399847,-1216.7369939654347,16159.066870033035,3.5989013073570235
40,50,85,50,80,11,17496.07725628493,4.5444356509830985,17496.07725628493,1353.106724950886,18849.183981235816,3.5564498077803424
30,35,85,55,72,9,17272.177064823383,5.935456036021781,17272.177064823383,-2156.6209256606353,15115.556139162749,3.5193378670926077
30,40,85,50,69,9,13465.528831747211,5.40784290431615,13465.528831747211,-1393.557562636602,12071.971269110609,3.4590175556190856
30,40,85,60,72,9,13155.023405332564,5.283141929852436,13155.023405332564,-1271.6086550317912,11883.414750300773,3.4098751076903224
40,50,85,55,84,11,16874.391170085524,4.38295874547676,16874.391170085524,1163.21698103049,18037.608151116016,3.400114637345149
30,35,85,50,71,10,15302.081305614649,5.258447184060016,15302.081305614649,-1166.241449444708,14135.839856169941,3.2989124518482944
35,40,80,55,105,8,14025.137609470941,3.652379585799724,14025.137609470941,2443.232122972934,16468.369732443876,3.101387896882086
30,35,85,60,73,9,15139.285289705103,5.202503535981135,15139.285289705103,-1938.656604677497,13200.628685027606,3.048644038112611
35,40,80,60,106,8,13414.597196619225,3.49338468661959,13414.597196619225,2252.1019015690326,15666.699098188257,2.964370690291061
40,45,85,50,78,10,20160.416867182965,4.354301699175586,20160.416867182965,-266.4042895225873,19894.012577660378,2.936385620318875
40,45,85,55,82,10,20193.32574529073,4.36140944822694,20193.32574529073,-1392.9873221327105,18800.33842315802,2.844226690341607
35,45,80,60,109,9,12181.373989923895,3.736617788320213,12181.373989923895,-418.2428416180344,11763.131148305862,2.6764803522880234
35,40,75,55,122,8,10870.687626617306,2.8309082360982565,10870.687626617306,2357.707452104037,13228.395078721343,2.5269140551521194
35,40,80,50,101,8,10781.672702187067,2.8077272661945485,10781.672702187067,2841.15904186405,13622.831744051116,2.5180835016730345
40,50,85,60,84,11,13060.578852408675,3.3923581434827725,13060.578852408675,308.64821804617077,13369.227070454846,2.5153766830582964
35,50,80,55,107,9,10779.772149203163,3.691702790823001,10779.772149203163,-1207.2242057895796,9572.547943413583,2.4419765161769345
40,45,85,60,83,10,16837.985068000897,3.6367138375811874,16837.985068000897,-1149.0110200696918,15688.974047931206,2.3916118975504883
35,40,75,50,122,8,10557.309207512539,2.6795201034295784,10557.309207512539,1895.5976188591753,12452.906826371714,2.31466669635162
35,50,80,60,107,9,9986.286462319338,3.4199611172326496,9986.286462319338,-921.4724660683393,9064.813996251,2.3124525500640303
35,45,80,55,105,9,10623.083786172523,3.25861465833513,10623.083786172523,-586.9787645345597,10036.105021637963,2.250247762699095
35,45,75,50,118,8,10062.657924264067,2.994838667935734,10062.657924264067,-523.8176255981524,9538.840298665915,2.167918249696799
35,45,80,50,100,9,9949.662616006226,3.0520437472411737,9949.662616006226,-750.8913845836886,9198.771231422537,2.093008243782147
30,45,80,55,91,7,7494.14086444311,3.2026243010440645,7494.14086444311,-934.430259299975,6559.710605143136,2.082447811156551
30,50,80,55,95,9,7171.590927159192,3.3201809847959223,7171.590927159192,-1247.0900824556747,5924.500844703517,2.082425604465208
35,50,75,50,117,8,8996.107812082455,3.0087317097265736,8996.107812082455,-1018.9221192596763,7977.185692822779,2.0221003023631887
30,45,80,60,94,7,6766.414359144866,2.891630068010626,6766.414359144866,-620.0114754894889,6146.402883655377,1.9543411394770676
35,50,80,50,100,9,8474.599599106396,2.9022601366802725,8474.599599106396,-953.8095759925855,7520.79002311381,1.9210191629920332
40,50,80,60,112,10,9463.188669224255,2.457971082915391,9463.188669224255,463.8323138012944,9927.02098302555,1.899908322110153
30,50,80,60,97,9,6572.292039739724,3.0427277961757984,6572.292039739724,-1266.782646994528,5305.509392745196,1.8714318845662068
35,40,75,60,125,7,8746.361161794048,2.2369210132465596,8746.361161794048,1043.0209201080106,9789.382081902058,1.8332176183337188
30,50,75,50,105,7,6120.54678691275,2.7446398147590805,6120.54678691275,-840.6043532761963,5279.942433636554,1.8144132074352417
40,50,80,55,109,10,8181.496925677384,2.12506413653958,8181.496925677384,1452.1083889864096,9633.605314663793,1.804045939075617
35,50,75,55,125,9,7915.345288973403,2.647272671897459,7915.345288973403,-1085.1595927065039,6830.185696266899,1.7269748915971932
35,45,75,60,129,8,7594.953235357967,2.280766737344735,7594.953235357967,-88.03194257484816,7506.921292783119,1.710004850292282
30,40,80,60,93,8,7654.653031782283,3.07415784408927,7654.653031782283,-1827.5593723334791,5827.093659448803,1.6601406437176076
35,45,75,55,122,9,7849.681872246335,2.3362148429304566,7849.681872246335,-443.1616692116586,7406.520203034676,1.6477241831000393
30,40,80,55,92,8,7658.7525215869955,3.075804225536946,7658.7525215869955,-1937.5498670472273,5721.202654539768,1.618444881057926
30,45,75,55,103,7,5419.462550522015,2.2487396475195083,5419.462550522015,-652.3077425295803,4767.154807992434,1.4623174257645504
30,50,80,50,89,9,5041.939032538706,2.3342310335827343,5041.939032538706,-841.9544941986328,4199.984538340073,1.4558005332201296
30,45,80,50,90,8,4221.309238895506,1.8039783072203015,4221.309238895506,96.80208443719542,4318.111323332701,1.349409788541469
40,50,80,50,104,11,4828.409971940075,1.2541324602441752,4828.409971940075,2202.6257377243933,7031.0357096644675,1.330375725575112
35,50,75,60,129,8,5847.312581147987,1.9556229368387916,5847.312581147987,-634.0500876676999,5213.262493480287,1.3214860566489954
30,35,80,60,95,9,7057.562955885774,2.425279366283771,7057.562955885774,-1626.7259530627923,5430.837002822981,1.2718587828625247
30,50,75,60,113,7,4422.028618240265,1.9829724745472042,4422.028618240265,-783.371072064477,3638.6575461757884,1.2700375379322124
40,45,80,55,109,10,8400.791066136486,1.8144257162281827,8400.791066136486,-301.9953221749847,8098.795743961501,1.2536835516968268
30,35,80,55,93,9,7330.3579870832855,2.519023363258861,7330.3579870832855,-2088.6655954013263,5241.69239168196,1.230444223399521
30,45,75,50,105,7,3969.5387218654214,1.6471115028487224,3969.5387218654214,-208.66804907509197,3760.8706727903295,1.150113355593373
40,45,80,60,113,10,7913.608433354212,1.7092026853896787,7913.608433354212,-753.8726644146329,7159.735768939579,1.1152236400217415
40,50,75,55,129,10,4998.643598995338,1.2686912687805427,4998.643598995338,800.4926891604475,5799.136288155785,1.0809200909889627
30,40,75,50,100,7,5309.637174931938,2.0740770214577884,5309.637174931938,-1712.347108494391,3597.2900664375466,1.0118959399261735
40,45,80,50,105,10,6270.5394883755625,1.354328183234463,6270.5394883755625,277.5273478059016,6548.066836181464,0.9997048604857197
30,40,75,55,103,7,5475.105352858091,2.198837491107667,5475.105352858091,-2053.010471827752,3422.0948810303385,0.989044763303566
30,40,80,50,87,8,5253.880545553503,2.1099921869692784,5253.880545553503,-1807.9636004127005,3445.9169451408025,0.9831432083140664
30,50,75,55,109,8,3634.214553658958,1.6296926249591739,3634.214553658958,-824.6689143624498,2809.545639296508,0.9772332658422636
30,35,80,50,93,10,5345.985976082018,1.8371085828460543,5345.985976082018,-1187.1426243979251,4158.843351684093,0.9762543079070641
40,50,75,60,136,10,4390.3626453809975,1.1143052399444155,4390.3626453809975,168.15197879967764,4558.514624180675,0.8724429902738134
30,35,75,55,108,9,5799.103828682622,1.920233055855173,5799.103828682622,-2226.0031821381594,3573.100646544463,0.8348365996599213
30,40,75,60,105,7,3895.6229055278236,1.5217276974718061,3895.6229055278236,-1354.1735302613629,2541.4493752664607,0.7250925464383625
40,50,75,50,122,11,3409.113741949888,0.8652572949111391,3409.113741949888,273.5023609702422,3682.6161029201303,0.6889833681796315
40,45,75,55,129,10,4694.605854423507,1.013953748255617,4694.605854423507,-381.8589853583567,4312.746869065149,0.6759791330823118
40,45,75,50,125,10,4196.48678759407,0.881614871343292,4196.48678759407,236.83886072005032,4433.32564831412,0.6696866538238853
30,35,75,50,111,9,5495.552478446706,1.819719363724075,5495.552478446706,-2760.5053310437015,2735.0471474030046,0.6427842884613406
30,45,75,60,110,7,2391.487703380946,0.9923185491207246,2391.487703380946,-356.08166523867703,2035.4060381422692,0.6272437713843665
30,35,75,60,114,9,3420.4157312554626,1.1325879904819414,3420.4157312554626,-1692.8313561599111,1727.5843750955514,0.41084051726410264
40,45,75,60,136,10,2236.418624040223,0.4830277805702426,2236.418624040223,-131.07646011307224,2105.342163927151,0.33286042117425313
